"","region","category","svy_fun","SE"
"1","North","1",0.738693908416945,0.0494948285447958
"2","North","2",0.252393555966673,0.0488039764218634
"3","North","3",0.00891253561638286,0.00890841816632603
"4","North","4",0,0
"5","West","1",0.621182891827036,0.0542009428059359
"6","West","2",0.343704418199784,0.0521907271694075
"7","West","3",0.0351126899731803,0.0158009963359367
"8","West","4",0,0
"9","East","1",0.591574370916034,0.0552023812845714
"10","East","2",0.355518716094616,0.0530986749835559
"11","East","3",0.0399543305359712,0.0180358468236122
"12","East","4",0.0129525824533791,0.00916934379067511
"13","London and South East","1",0.609112214966909,0.0406803052184539
"14","London and South East","2",0.299163755533609,0.0366723477451684
"15","London and South East","3",0.0873364483685372,0.019316664561702
"16","London and South East","4",0.00438758113094448,0.0043861029706184
"17","England","1",0.630158540811052,0.0250855828851932
"18","England","2",0.309823168203223,0.023422210268106
"19","England","3",0.0557079804365979,0.0100487451288066
"20","England","4",0.0043103105491272,0.00259280894420136
