"","region","category","svy_fun","SE"
"1","North East","hh_grossinc",15421.7623502667,878.231244921015
"2","North West","hh_grossinc",13757.7425862214,953.229819286457
"3","Yorks & Humber","hh_grossinc",14183.9509971244,656.411199605364
"4","East Midlands","hh_grossinc",14306.837245412,938.769106349824
"5","West Midlands","hh_grossinc",16353.8775019213,749.567076601342
"6","East","hh_grossinc",20527.5828041656,938.022759268935
"7","London","hh_grossinc",22379.4322743011,1088.09470741153
"8","South East","hh_grossinc",19384.2083772425,698.910727279616
"9","South West","hh_grossinc",17710.0851411455,691.70565813624
"10","England","hh_grossinc",18751.7484069233,374.8751345761
