"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",7747.38404638145,13045.2877752468,13869.0292993631,14601.9866171004,15973.8636355322,17588.2100694444,17702.7120446226,17728.4333275231,18482.0320157549,2389.56434018758,2675.1053274137,1873.42510800845,1193.63465581257,1084.10550381811,1013.10679473511,1687.73006165635,2217.21895337521,1884.84005827515
"2","North West",7390.77844940867,10281.1562380446,12526.5892898754,13976.7923138511,14720.5696969697,16185.4467809254,17376.8938370584,17962.888030888,20141.3403941926,2599.53458138762,1873.78032624471,1621.07922369075,1174.80807830624,1111.14241581602,845.583187235184,699.386844362653,745.082328660026,1056.0969083955
"3","Yorks & Humber",9129.42578418249,10615.626400614,13052.7505154639,13780,14274.0365168539,15018.3222222222,15667.056516129,17056,17464.4363280327,2616.13964231654,1318.89233943993,1039.37478632302,782.165435675998,550.271133099988,536.48982686285,632.824299499025,518.253599127622,1248.09936443475
"4","East Midlands",5291.00547368421,8736.74820143885,10656.5331346705,13153.2589147287,14420.4771505376,15366.2097854077,16149.3938757655,17489.1089989889,19479.5863580999,6029.30401162478,1615.93273104729,1435.49403190502,1270.33763402737,940.505126042885,610.935914671679,764.424782109948,874.343488889847,1131.92567979873
"5","West Midlands",10136.1400739827,13857.6197074673,14881.3536276003,15612.5069877883,16659.9201520913,17533.4390656552,18478.6271006813,18982.7674690956,20657.6069813818,1823.73600411949,1413.23431643991,992.430274542503,593.24647747793,769.236148056093,532.703131973705,582.640006726369,801.593842648955,1138.27114268449
"6","East",10400,15644.9008352316,17212,19986.4536007828,20638.6163043478,22048,22152,24311.1751310535,27001.2273968436,5519.13693776045,1737.78703428537,1288.70402724923,1071.27957864075,834.81829069794,816.389404973965,748.272198392528,1330.61112067941,1116.25725713728
"7","London",11960,14327.0120614035,16824.4375,19121.4078807242,22304.8936678614,25425.8066783831,27917.2069635184,28493.7346261124,31141.5579540122,3644.54835892287,1274.18788980282,1743.45955360354,1837.44965589366,2180.14544844869,1714.32883843548,1296.74359677828,1515.4578596106,1015.18890314594
"8","South East",11288.945482894,13364,15289.3084866469,16894.3490265487,19151.7680445772,20986.8877123667,23216.0091814638,25071.0613413715,25677.099027435,1229.83824964595,796.896355474212,964.145694941417,1082.68558118318,1275.75143665791,1216.12122887783,1108.81623932133,657.50003443851,178.920230318492
"9","South West",6456.86225680934,11597.005242464,13894.2254014599,15537.4170072774,16231.0444282593,17481.1255673222,18928.2791411043,21145.5053456878,22061.0092658589,3333.02209550479,1929.65404822307,1522.1028344795,936.618371460686,917.358155543532,1190.9982036416,1155.03329603279,817.778939679517,845.107329906126
"10","England",9670.77420915342,13079.775321726,14664,15976.3083056313,17483.9428478734,19068.0031701663,21528,24117.915933044,27904.1945960519,NA,NA,NA,NA,NA,NA,NA,NA,NA
