"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",5740.32387045182,12413.8699291694,13175.006795017,14173.1571428571,15135.1420389462,15902.6772908367,17682.5039219104,17708.2252048109,17743.0838709677,2246.05006515905,2551.3428499347,1960.53612727585,919.018347086754,1184.08655926938,1064.59410120341,1648.53596556855,1403.6127829112,762.911567201124
"2","North West",7390.77844940867,10141.566023166,11260.6188486141,12532,13835.4324491055,14681.223030303,15374.0544832307,16432,17168.2181818182,2556.93232672645,1575.31283455293,1151.22020731511,1014.51457696667,788.369419506661,681.360898979926,542.182094081479,597.405847341877,626.926653741098
"3","Yorks & Humber",6754.52132269099,10174.0337078652,12211.2875471698,13174.7360824742,13955.5589123867,14790.482784572,15344.3872684086,15733.9201179071,17056,2356.67260595463,1482.28345911844,1169.70385216333,950.768978159142,570.867687372876,547.193437608944,522.145169055953,503.321137882923,457.150677055444
"4","East Midlands",5111.99083249073,7624.34846625767,9513.52937968643,11817.2628501827,13154.7118301314,15189.3330085262,15600,16829.5682498373,18617.2506329114,1432.65499003956,1264.15215937836,1309.22848810243,1396.03952215416,1245.32037851339,857.728186076043,528.400981114264,817.647563580716,680.581885311074
"5","West Midlands",8023.32483039349,12582.4776014109,14456,14945.5070020394,15591.9862136878,16389.7426042984,16847.6875889328,18469.7544284633,18809.6965879265,1946.58959987293,1843.06513816589,1140.95410542807,570.783630345285,487.301050562597,660.849095579029,637.822864694926,592.381966766521,369.138486444246
"6","East",10285.9499065421,15120.6816941852,16920.7660685155,18924.6156340475,20252.3109616678,21906.2443579767,22152,23214.0878655881,24385.7056140351,3402.60350770772,1722.70931237729,1177.83150231866,1139.22409833713,1162.98919645735,627.296547866527,477.647045481685,596.150165573847,350.035032123856
"7","London",11479.4730458221,14065.5612788632,15538.6058394161,17892.1010309278,20620.0309506264,23597.1789077213,26521.4794697704,28368.6152208622,29508.5283018868,860.954468181011,1159.20904057907,1538.245286723,1652.70071961383,1876.94123199068,1909.90454872652,1667.66087281006,1462.07307719409,1040.22576774979
"8","South East",9801.36713404375,13333.4621722846,14976,16338.4310911809,19136,20346.9911708253,22277.0157219385,24267.3890909091,25532,1155.57346311868,1127.30605879413,791.506400665375,1098.13686247127,1246.95454076769,1065.52830704499,1307.3612966997,831.195490932835,227.869412555145
"9","South West",6255.40480216436,11220.8571428571,13643.724137931,14145.1010587103,15437.2712590968,16867.6360327571,18304,19382.5984555985,21070.423690205,4517.58079271399,1923.35788082958,1233.78455838365,1021.48168661747,1075.48943526477,931.76652864913,905.228263579249,731.961344204883,420.255419151412
"10","England",8996,11960,14092,15340,16555.5256916996,17940.3506285714,20049.7545762712,22274.7632739504,25896,NA,NA,NA,NA,NA,NA,NA,NA,NA
