"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",8678.07852858856,13050.6022779043,13900.9447133758,15433.6763502884,16637.1538956858,17687.603765034,17708.3366916507,17729.0696182674,17827.788028169,2380.09283646992,2595.28120998286,2180.49806973443,1305.00521089865,1189.8502623478,1101.01195304569,1932.5843385383,1561.50467467781,1197.15053014605
"2","North West",5873.2798053528,9886.82625482626,11878.840844267,12727.250965251,13784.7156076496,15227.3154639175,16751.1690781315,18170.6473684211,19458.3544857768,2513.41290769948,3001.50692338484,1303.09918835523,1071.87140385688,1100.11642036427,1298.98687575891,1090.98894697196,1221.84198538583,1468.58226038149
"3","Yorks & Humber",8137.96551215917,10368.0306849315,13177.5639175258,13867.0018126888,14547.7411630559,15169.9988059701,15548,17056,17756.3798824298,929.644742446746,1673.88049255818,1255.03671589944,1189.86987388815,593.831342425764,783.982698180106,686.142141112354,635.362533813103,1114.30618992344
"4","East Midlands",6023.69402697495,10175.7840776699,12130.7937984496,14387.435483871,15279.5978947368,15600,17368,18446.4674698795,19781.5230641132,6501.35470693252,1952.11941462195,1478.19746594262,1283.13851994902,917.206449130112,784.485869405909,975.147191224568,897.13263338955,2123.08815273172
"5","West Midlands",9787.74648581997,12980.5897550111,14675.9682539683,15694.1484787018,16573.5859649123,18014.8180881511,18552.8151874703,19057.163190184,21585.0053892216,2774.77454806382,1900.22526299703,1258.75975159014,820.104855825479,855.426610113005,676.733381107064,883.016055222579,898.067399190457,1517.23657525742
"6","East",12058.5093167702,16091.3977984759,18695.3989847716,20249.7763550773,22029.7190584662,22152,23248.4589919104,24648,28655.943517955,5250.81389905261,1748.49435276829,1195.2343154785,1226.38289562284,655.231938334627,803.956561780579,688.356705661894,1398.84740640337,2126.34656786202
"7","London",11643.9878787879,14319.1635964912,16900.2785348562,18087.044352,21926.5194805195,24663.2508264463,27909.4380070265,30582.5205164993,32782.8001335559,910.471389872731,1386.97735468496,1790.84923380554,1566.55586532509,1826.45268609871,1623.71375918545,1494.65305971761,652.131815131771,1834.70233723091
"8","South East",12627.46068424,14039.3981481481,15548,17676.5333333333,19508.7518009168,21278.5026929982,23388.4436208125,25457.8425806452,26059.8806499261,1235.32471527953,719.637073477955,1045.96128729572,1215.1486394739,1421.27457400547,1295.83543453977,1152.1451124508,700.202679677586,475.610486132411
"9","South West",11247.6579292267,13723.2333333333,15295.7707107965,16655.2864321608,17881.3366834171,19292.5804651163,20194.7454175153,21428.9150684932,22900.6903820817,1464.43360710711,950.889121718761,1074.26402322958,1145.69961788015,1041.274486851,973.148318179182,716.997100072255,829.725664855046,1448.341687407
"10","England",10601.9982479194,13468,15067.7001264223,16536,17940,19659.3579335793,21912.3506493507,24615.5950506187,28649.5155203895,NA,NA,NA,NA,NA,NA,NA,NA,NA
