"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",12639.3890454165,14552.8774875622,16143.5774084475,17737.1458064516,19210.2570128083,21420.8955223881,23641.4318844027,26094.335642686,26280.0036422385,2346.66341864669,3106.2244562817,1754.87331824083,2274.72587371793,2919.26727373742,2840.76951283014,2375.07306546641,2201.03581664587,1703.92060283261
"2","North West",8148.09835713519,11017.3292600259,12754.7764365041,15568.0151969972,15871.3938477055,17598.1696491373,19247.4747357251,20900.6261343013,23684.1919292711,2802.23714895358,3044.62285627063,1570.09475099188,1330.38581563189,1235.70330994631,1296.43661025072,1252.83408621782,1799.56567443221,2852.13913249321
"3","Yorks & Humber",10317.1232110307,12233.6479919846,14598.4376344583,17975.0891078134,19712.1771828734,20385.3789311386,21048.4245817662,22620.3822677656,25456.7164179104,606.815021022161,1367.04072835518,2211.91633828871,1939.37303875824,1575.7577483359,1079.00664882348,1266.31352853361,1385.86745065327,1102.33429672169
"4","East Midlands",7893.68986645719,10317.6021844719,13481.2238897163,14705.5983209558,16875.0248805331,19455.4419570499,20422.4832689609,23005.0984562168,24102.2828116635,4593.46418135692,1620.36026082829,1385.30213757518,1278.94348331587,1591.40351466112,2015.68311187412,1441.0395147822,1344.70481976056,1445.64152871135
"5","West Midlands",10332.7005950204,13630.4317440045,15897.4460460301,16597.2340623161,19835.3785257766,22601.19282376,24904.9929061915,27178.1575424534,27690.6142283362,3106.95025093455,1675.34310002371,1309.09318378193,1583.19224024831,2063.35294158243,2252.22207840838,1552.72426198107,929.413395425009,771.317377057761
"6","East",15493.9583232165,16999.6866256418,19312.770558341,20386.3397075366,23151.9581791541,24865.5000789515,27980.4032529881,30652.3673205725,33041.1133001007,3095.78659619614,985.709846059929,1171.03656144371,1213.01974526367,1658.32602959542,2333.85961538891,2496.35237139135,2141.5749374548,1864.54769519195
"7","London",13460.3910628955,16834.8685393258,17827.8831901101,19700.0850298728,21864.8542734167,23226.6666666667,25290.8494001046,28409.2796893436,32880.1107577175,1704.12019452871,828.003259265083,546.304436859802,1114.58520762701,1198.38158865952,979.008396664183,1347.40070492896,1785.53503555173,1737.80023620687
"8","South East",13063.7862974796,16789.5784750037,18683.7225775883,19900.2786448832,21946.4020678729,23223.4920943966,25872.6933333333,29158.7706231368,32935.2023795655,1717.88887494279,1201.07514704493,833.234622766317,1024.42471768638,1198.91938692779,1415.66245351277,2183.65865392504,2958.6614803739,2573.91266329154
"9","South West",13297.0681380222,15018.1933158807,15546.3659015262,17719.9142154093,19264.102189781,20443.5175416023,22343.1436243003,24805.7948598974,27510.5164362238,1754.86511733696,578.410167656163,766.697281635865,1214.09289687136,1419.6955136182,1466.34052112895,1231.53146369336,1760.64242817142,1815.06200704215
"10","England",12079.4034425573,15359.1034519139,17152.2388059701,18648.4608648057,20543.4285688347,22358.800440318,24478.1104789952,26642.6396646099,31345.5722179305,NA,NA,NA,NA,NA,NA,NA,NA,NA
