"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_noincben",14869.8085162193,927.293200155577
"2","North West","hh_grossinc_noincben",12151.2493412772,840.593961170809
"3","Yorks & Humber","hh_grossinc_noincben",13048.6750052603,776.855830719226
"4","East Midlands","hh_grossinc_noincben",12821.4542691488,872.443923419323
"5","West Midlands","hh_grossinc_noincben",14725.4879540215,765.406947636506
"6","East","hh_grossinc_noincben",18770.9648209296,870.439177892829
"7","London","hh_grossinc_noincben",19284.5024525519,882.514896897671
"8","South East","hh_grossinc_noincben",17852.242531202,786.523543547019
"9","South West","hh_grossinc_noincben",15809.6670963057,579.86626380116
"10","England","hh_grossinc_noincben",16768.2725743142,340.556591677212
