"","region","category","svy_fun","SE"
"1","North","16 to 24",0.121685287387266,0.0420097811723628
"2","North","25 to 34",0.293025829706406,0.0551307777861598
"3","North","35 to 44",0.227494353958212,0.0497594259100179
"4","North","45 to 54",0.232205620615905,0.0498474507226297
"5","North","55 to 64",0.125588908332212,0.0595286069426751
"6","West","16 to 24",0.265020016384067,0.0612164899646227
"7","West","25 to 34",0.314960508215219,0.0578821747796955
"8","West","35 to 44",0.143468785260522,0.0422764769479101
"9","West","45 to 54",0.175711393109418,0.0424389494529943
"10","West","55 to 64",0.100839297030774,0.0327559783501656
"11","East","16 to 24",0.157659645292893,0.0498921002825986
"12","East","25 to 34",0.313755544717713,0.055869708305627
"13","East","35 to 44",0.265054924638287,0.0512828922412419
"14","East","45 to 54",0.151876882107496,0.0401069624323011
"15","East","55 to 64",0.111653003243611,0.0326043786482332
"16","London and South East","16 to 24",0.134565269539428,0.0281034069434219
"17","London and South East","25 to 34",0.393609887473831,0.0464671830280284
"18","London and South East","35 to 44",0.302566730635031,0.0453451293506526
"19","London and South East","45 to 54",0.119619024773203,0.0236607500147504
"20","London and South East","55 to 64",0.0496390875785066,0.0145888172095188
"21","England","16 to 24",0.158461998495668,0.0209647901344963
"22","England","25 to 34",0.348898294256271,0.0283604848492022
"23","England","35 to 44",0.255841800139895,0.0266563443336699
"24","England","45 to 54",0.154500942512656,0.01775779382583
"25","England","55 to 64",0.0822969645955099,0.0152841235492279
