"","region","category","svy_fun","SE"
"1","North","No disabled",0.755133785016676,0.0510676263936836
"2","North","Has disabled person",0.244866214983324,0.0510676263936836
"3","West","No disabled",0.792896115739524,0.0464994179935164
"4","West","Has disabled person",0.207103884260476,0.0464994179935164
"5","East","No disabled",0.775594726615419,0.04911903642
"6","East","Has disabled person",0.224405273384581,0.04911903642
"7","London and South East","No disabled",0.752608709874389,0.0466986351878429
"8","London and South East","Has disabled person",0.247391290125611,0.0466986351878429
"9","England","No disabled",0.76383175194068,0.027023813029106
"10","England","Has disabled person",0.23616824805932,0.027023813029106
