"","region","category","svy_fun","SE"
"1","North","Helps outside",0.0326797385620915,0.0187460136741776
"2","North","Doesn't",0.967320261437909,0.0187460136741776
"3","West","Helps outside",0.0737360310369878,0.0310383472952176
"4","West","Doesn't",0.926263968963012,0.0310383472952176
"5","East","Helps outside",0.0424688605556717,0.0272267140863034
"6","East","Doesn't",0.957531139444328,0.0272267140863034
"7","London and South East","Helps outside",0.0932593335659456,0.0336692176948532
"8","London and South East","Doesn't",0.906740666434054,0.0336692176948532
"9","England","Helps outside",0.070617974789927,0.0182340009441848
"10","England","Doesn't",0.929382025210073,0.0182340009441848
