"","region","category","svy_fun","SE"
"1","North","1",0.708275377275243,0.0526954955483072
"2","North","2",0.251073121849808,0.0495518196870707
"3","North","3",0.0328891281913223,0.0198924118739536
"4","North","4",0.00776237268362723,0.00776576954293758
"5","West","1",0.676097809790253,0.0570641254325037
"6","West","2",0.307541307943181,0.0564981992174651
"7","West","3",0.0163608822665657,0.0115689847135628
"8","West","4",0,0
"9","East","1",0.700163341771368,0.0508022500942639
"10","East","2",0.282349024981227,0.0498361223612319
"11","East","3",0.0174876332474047,0.0123272562640614
"12","East","4",0,0
"13","London and South East","1",0.556312151081647,0.0445542627505507
"14","London and South East","2",0.380817123168179,0.04229895125336
"15","London and South East","3",0.0565520324494068,0.0147010177361223
"16","London and South East","4",0.00631869330076762,0.00448226596741662
"17","England","1",0.627975567121259,0.0264990128937356
"18","England","2",0.328717590012923,0.0255143459614059
"19","England","3",0.0388860567404474,0.00837484292659321
"20","England","4",0.00442078612537065,0.00255892395379596
