"","region","category","svy_fun","SE"
"1","North","Full-time",0.343959857016796,0.0585693840824806
"2","North","Part-time",0.31862371187987,0.0547980715369902
"3","North","FT self-employed",0.102421441498033,0.037650798110449
"4","North","PT self-employed",0.0465817143028073,0.0272086835447461
"5","North","Unemployed",0.144591017184906,0.0622647349101513
"6","North","Student",0,0
"7","North","Family home",0.0355738023661028,0.0209682008963204
"8","North","Disabled",0,0
"9","North","Retired",0,0
"10","North","Other",0.00824845575148442,0.00824805642308928
"11","West","Full-time",0.43314218588188,0.0634266980588269
"12","West","Part-time",0.291234524011933,0.052518459872357
"13","West","FT self-employed",0.120469264417206,0.0410963440847497
"14","West","PT self-employed",0.0278065443529066,0.0160344016765851
"15","West","Unemployed",0.0879870782261929,0.0367783830301404
"16","West","Student",0.0175278606426882,0.017357918675493
"17","West","Family home",0.0104177937153191,0.0103913194116672
"18","West","Disabled",0,0
"19","West","Retired",0.0114147487518741,0.0113743255212903
"20","West","Other",0,0
"21","East","Full-time",0.46714972479621,0.0597397151366907
"22","East","Part-time",0.273485217956757,0.0525875510880653
"23","East","FT self-employed",0.121438026893332,0.037040358660946
"24","East","PT self-employed",0.0682087368494391,0.0254711550384809
"25","East","Unemployed",0.0413154044450637,0.0244620682354696
"26","East","Student",0.0284028890591978,0.021002389794207
"27","East","Family home",0,0
"28","East","Disabled",0,0
"29","East","Retired",0,0
"30","East","Other",0,0
"31","London and South East","Full-time",0.459312848918353,0.0468267732991581
"32","London and South East","Part-time",0.176637190334962,0.0282496462491677
"33","London and South East","FT self-employed",0.216509289951151,0.0435813364057289
"34","London and South East","PT self-employed",0.0489385249476623,0.0144054713183186
"35","London and South East","Unemployed",0.0240699145150035,0.0122283388596254
"36","London and South East","Student",0.0375932266224703,0.0143384528107793
"37","London and South East","Family home",0.0215429823796232,0.0109321320842076
"38","London and South East","Disabled",0.00436147941381717,0.00436151087429384
"39","London and South East","Retired",0,0
"40","London and South East","Other",0.0110345429169574,0.00829555826193502
"41","England","Full-time",0.435866327862676,0.0292411317061562
"42","England","Part-time",0.237660724424053,0.0214823137274076
"43","England","FT self-employed",0.163865474266309,0.0245919997388852
"44","England","PT self-employed",0.0482005319169957,0.00989116584584967
"45","England","Unemployed",0.0591286730660049,0.0152797649472487
"46","England","Student",0.0259872671875185,0.00833921793299109
"47","England","Family home",0.0184524350548844,0.00669454718790894
"48","England","Disabled",0.00210764535178577,0.00210685089352752
"49","England","Retired",0.00194562011536724,0.00194520208329446
"50","England","Other",0.00678530075440531,0.00426614910062109
