"","region","category","svy_fun","SE"
"1","North","Not Single parent head",0.774711715349755,0.045501414564833
"2","North","Single parent head ",0.225288284650245,0.045501414564833
"3","West","Not Single parent head",0.79342164242546,0.0436015335858601
"4","West","Single parent head ",0.20657835757454,0.0436015335858601
"5","East","Not Single parent head",0.850275203790148,0.0354218450746025
"6","East","Single parent head ",0.149724796209852,0.0354218450746025
"7","London and South East","Not Single parent head",0.851366233426378,0.0250558231701569
"8","London and South East","Single parent head ",0.148633766573622,0.0250558231701569
"9","England","Not Single parent head",0.827801422924068,0.0175249594803243
"10","England","Single parent head ",0.172198577075932,0.0175249594803243
