"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_earn",7491.74916163649,2002.27865416314
"2","North West","hh_grossinc_earn",6264.863707588,1002.8448130877
"3","Yorks & Humber","hh_grossinc_earn",5784.2534355562,1533.51364705972
"4","East Midlands","hh_grossinc_earn",6747.19886307562,1207.8289053491
"5","West Midlands","hh_grossinc_earn",8477.59479190186,1394.19849765376
"6","East","hh_grossinc_earn",10080.3669664009,1144.26478526941
"7","London","hh_grossinc_earn",11823.1889147242,1494.41644245661
"8","South East","hh_grossinc_earn",10348.1579894026,994.059099040073
"9","South West","hh_grossinc_earn",7583.79073000551,1036.98346919861
"10","England","hh_grossinc_earn",9428.34483185601,590.96626131682
