"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,1085.19164443288,4904.82809012016,5391.96906305128,6538.12494642296,8435.53999606409,8713.57464176125,12744.5107168124,24038.1632728734,1317.67765254556,1416.25077932993,2139.27746221084,2204.82258624143,2705.14677636091,4693.87717864745,5802.36413551808,5197.5027789105,5053.11665391437
"2","North West",0,0,0,4303.30239369192,5207.25736935107,6714.75990852627,8862.01815397991,14747.5494521549,17860.7458014567,0,326.996942824076,1250.02984347958,1536.38845326642,2058.66335561465,1395.17943586,2501.36766630211,2654.34684389947,2854.77970549596
"3","Yorks & Humber",0,0,0,0,0,10086.5921391229,11520.7748019829,17517.0795307491,22726.7210266955,0,0,1611.09679817153,2801.03098891881,3021.3118231095,5081.61140503124,5798.51369908469,3173.41535547588,2459.90700867347
"4","East Midlands",0,0,0,3557.02149178255,7718.9863322979,9341.65007708912,11343.9964393718,13718.9884582257,15030.1628159779,0,504.858267328722,1955.33835571525,2291.76806682243,2890.24632280382,2596.56290937973,1846.07219226892,2487.61114952857,3340.87144671955
"5","West Midlands",0,0,1083.28990205037,5995.88433300644,8249.7460748207,11897.5216795984,15352.6215000821,18113.256072777,22037.3482652786,33.3438118653655,1202.63894656165,1828.61919658525,2888.49487900977,3556.60962627641,2892.69050667348,3109.69643663587,2836.92165892604,2613.76778594596
"6","East",0,0,5288.00212781794,7038.37997054492,9341.72413793103,13149.9065667166,20095.6032693674,23632.3792800702,26743.0593409763,0,1455.105604219,2010.9963769715,2679.06403896187,2500.4896928641,3387.43415615435,3868.20227766047,2889.80085500855,2485.79919044849
"7","London",0,0,2481.17874396135,5499.87932083402,8959.06625472022,14799.547792614,20641.3510512087,27855.2734385712,35047.8552997723,0,747.565828551179,1492.38934690535,2355.770134102,2877.36572282068,4710.13129708076,3787.44921548603,4501.85116665071,3302.06866337788
"8","South East",0,0,3475.42530612245,6648.74563911332,10809.6820361507,13143.0945373906,16754.9354275742,19402.9850746269,23830.7053067993,0,891.181403217923,1704.08646972399,2144.8232373622,1759.99506580164,2029.31390146558,1866.83888267185,1874.04087383908,4027.81799255711
"9","South West",0,0,3391.61709916252,5531.19631783501,6137.30904560092,9706.25684210526,16163.9487885836,16870.3014861996,19238.231484089,7.84268912008744,1326.5549880041,1522.66047796202,1896.47793428459,2270.17677128585,2696.40646075781,2706.5706769829,1796.15309104864,2840.82720601899
"10","England",0,0,1210.93190015871,5673.62672638245,8188.93662415368,11552.9915599667,16027.1170906622,20809.7637768368,27159.4973001859,NA,NA,NA,NA,NA,NA,NA,NA,NA
