"","region","category","svy_fun","SE"
"1","North East","hh_grossinc",13242.0114975568,2045.90112233836
"2","North West","hh_grossinc",14591.7790775246,890.252467683757
"3","Yorks & Humber","hh_grossinc",12009.8067822529,1133.49738957296
"4","East Midlands","hh_grossinc",12848.2718354618,874.559276229643
"5","West Midlands","hh_grossinc",13443.5889215022,1043.3627275204
"6","East","hh_grossinc",17783.1323840334,773.342942381495
"7","London","hh_grossinc",22262.6457427841,969.579513918197
"8","South East","hh_grossinc",18664.1526420689,746.070205422116
"9","South West","hh_grossinc",14680.4478661176,909.397555704196
"10","England","hh_grossinc",17654.1172351381,457.63079138162
