"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",1709.02193548387,5271.58544990428,5649.71158917418,5849.9194333776,9117.93662674651,11781.5913127413,17705.2731988473,18090.7104020421,19118.4860275482,1360.88087781146,1531.12679564134,2693.77200511932,3765.63487613802,3243.44647613247,3421.66118514986,3981.73048700814,3004.51665313689,1202.08436690067
"2","North West",6023.68318472662,8157.68426652522,10257.847675365,13653.2662117647,15505.9199061662,16521.595361528,16933.6051551313,17455.2636631579,18173.2928054978,2038.89311089085,1603.02442901273,1888.0173131766,1753.06240802682,1249.65149865583,524.217003560022,513.117775219935,790.655801407407,2032.44294597536
"3","Yorks & Humber",4525.35162991214,5926.91871795451,6123.27123152894,7273.04805369128,9451.43411552347,12874.5417721519,14618.0313213703,15411.9216025988,16042.017310253,1264.30970818416,1486.17440241736,631.39362487468,2180.4550081952,2314.13409966815,2158.31700280242,1768.78430107721,1280.09993913112,1384.85122797602
"4","East Midlands",6624.69227731019,7811.48775510204,10187.8858381503,11944.7902021773,12975.9622641509,14297.0690265487,14906.3575658965,15923.0478729222,17293.692542101,1982.51789579349,2141.04141619303,1313.1708858727,1599.1537599558,1196.5271343743,987.526268145132,1051.94968704406,697.189100516859,2694.11283413591
"5","West Midlands",2584.76352583587,7280.53238095238,9775.54665515753,12096.1140504375,14719.594892118,15403.5111767602,16773.3599383263,17689.3280422842,18173.0376910017,1881.57281961374,2809.20902704884,2226.04111263262,2046.68435625739,1694.73184619768,1340.48301142842,742.743769534114,800.845165299641,507.647598577251
"6","East",8600.6900838275,13074.8096618357,15094.5942386831,15859.751270763,17077.0601757945,17940,19776.5870560379,20720.6239185751,21913.3882215743,3031.54253427765,1733.38956532483,1015.12031291501,943.216851552684,830.490676819999,835.194944382106,883.606985360704,654.194042645279,1473.05713393658
"7","London",10573.8560726447,13931.9956193944,18034.4526280992,20882.7128926043,22726.8942937325,24440,26712.8722806441,27588.0715700991,28282.1684411858,1115.38581399646,1904.23764924436,1816.94547023551,1522.49311411559,1114.82760491957,1242.31765331932,936.695766448761,621.247141568009,1511.62676447978
"8","South East",7205.57197339246,13117.1769633508,16121.1391574279,16786.6836428571,18564,20222.3512690355,22068.4934736842,22988.3987421384,24182.5041769042,1762.69266909012,1993.94172405864,1013.89016581995,863.471778841204,998.002056304851,983.782212586846,803.2914046377,505.488508580676,576.474044764138
"9","South West",7442.47681331748,10731.7583089431,11045.0074496234,11765.3070943396,12936.7924528302,14575.1084299811,17138.5964614296,18269.4808510638,19756.3705263158,4092.84224717865,956.565325740252,636.936543934691,838.232357844222,1483.32849406633,1302.5542264197,1266.96411315689,857.769136186331,1109.38301208644
"10","England",7136.25139318885,10578.5767040552,12960.9751133501,15080,16927.3900153662,18176.9493321721,20540,23099.6503971673,26787.6975764049,NA,NA,NA,NA,NA,NA,NA,NA,NA
