"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",1709.02193548387,5271.58544990428,8784.88938237335,10576.767773351,11010.1696606786,13024.433976834,17705.2731988473,18090.7104020421,21531.0584022039,1360.88087781146,2696.9560955757,2971.61217794159,3765.63487613802,3243.44647613247,2841.98429707371,4161.9765609874,3970.35763851932,2528.63935490478
"2","North West",6647.29811320755,9844.71253534402,11845.5123255814,15153.7818181818,16573.7,16894.498509111,17104.2661796932,18002.910877193,18862.634375,2349.89473294134,1899.32587830087,1759.79729137614,1498.13207959401,994.182529465896,445.164411607271,375.370344770078,1035.37644155317,2562.00430531243
"3","Yorks & Humber",6164.42041270234,6848.45975534412,8075.36736842105,9381.89581151833,11580.536101083,12874.5417721519,14618.0313213703,15411.9216025988,16714.8938564027,244.380365206255,427.997439453709,1765.26628035377,1989.41804692093,1971.52010438949,1632.9795613644,1337.24852633211,1551.24663679794,1637.29739043093
"4","East Midlands",6455.5417218543,9474.16310853059,10668.2841836735,12510.6362694301,12975.9622641509,14297.0690265487,14906.3575658965,16609.67001287,17293.692542101,2414.7619863158,2337.08046234061,1269.58460717412,1088.07158282788,1079.63535439188,1009.08418040861,1051.94968704406,697.189100516859,2967.09355628375
"5","West Midlands",6138.46565349544,8326.21298701299,10970.6939783839,12772.7665084161,14719.594892118,15472.5372722797,17226.9887147335,17775.773984482,18230.4672325976,2368.97618181133,3117.40422180964,2000.50959217734,1574.94727598644,1407.71724412202,1208.48982498817,762.676000415969,678.439399325821,1241.70796035172
"6","East",9441.64776119403,13468,15603.4831942789,16820.7580052493,17940,19088.240776699,20296.6309565217,21772.2878134111,23890.4834241245,3063.59500340571,1678.54651293276,1075.44134372476,755.53654138743,941.579228045647,839.828615991028,976.965698343969,997.50804958465,1644.01358665427
"7","London",10595.6494892168,14768.5844108761,18928,21542.1170087977,23816,25142.5889967638,27508,28136.8868902439,30436.9509722665,1149.05678845237,2211.40015668857,2159.86153569112,1467.98055271713,1309.40024338451,1114.33725246881,930.872320461767,733.955407492036,2225.86422489097
"8","South East",9891.28510638298,14023.7448063921,16153.0194235033,17992.3374631268,18709.2836501901,20522.0683684795,22151.7978065803,23158.4148262548,24362.8052493438,2069.26270828264,1537.83232158331,1104.04984750006,750.03095536794,770.421247323834,928.002919782215,690.12112259091,529.97667436665,1699.69993346618
"9","South West",7611.04457319428,10775.6243252033,11058.7351109302,12807.2572347267,14224.9853420195,15954.5774113768,17868.0994594595,18995.3209302326,21593.5795180723,4157.55976262808,952.680879289021,764.462100957728,973.242039538341,1490.62955272488,1219.65984102892,1286.64980970183,1192.60399243162,2341.23999324193
"10","England",8098.55868421053,10847.1677304965,13712.9812169312,15600,17368,18876,21652.8190041115,23920,27894.7135094566,NA,NA,NA,NA,NA,NA,NA,NA,NA
