"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_nohb",11530.3623809524,1947.63417768065
"2","North West","hh_grossinc_nohb",13650.1866389106,891.176417648972
"3","Yorks & Humber","hh_grossinc_nohb",10770.9519144386,1228.72823443066
"4","East Midlands","hh_grossinc_nohb",12547.4902659556,900.202648705812
"5","West Midlands","hh_grossinc_nohb",12720.2428800527,1113.56086334075
"6","East","hh_grossinc_nohb",16776.6239221177,718.972381575831
"7","London","hh_grossinc_nohb",21267.4708331223,919.309170618816
"8","South East","hh_grossinc_nohb",17692.3807110095,702.039259842736
"9","South West","hh_grossinc_nohb",13743.073114122,817.183220744283
"10","England","hh_grossinc_nohb",16702.068833862,449.111470837276
