"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_noincben",10310.5183481843,1940.56256491688
"2","North West","hh_grossinc_noincben",11581.619063872,994.177247958524
"3","Yorks & Humber","hh_grossinc_noincben",8070.72968113906,1748.25352350018
"4","East Midlands","hh_grossinc_noincben",11374.0995993131,1040.26899671213
"5","West Midlands","hh_grossinc_noincben",11564.5552043351,1197.59045954355
"6","East","hh_grossinc_noincben",15956.9411824643,676.179368692581
"7","London","hh_grossinc_noincben",19338.5539515738,939.732138265811
"8","South East","hh_grossinc_noincben",16370.7055887738,760.886505668486
"9","South West","hh_grossinc_noincben",12381.9641161504,807.26461237896
"10","England","hh_grossinc_noincben",15106.6620719998,483.868282680942
