"","region","category","svy_fun","SE"
"1","North","Do this",0.417111778355696,0.0630070119718145
"2","North","Like to but can't afford",0.532666224092673,0.0616883302475333
"3","North","Don't want to",0.0502219975516319,0.0225705312820974
"4","North","Does not apply",0,0
"5","West","Do this",0.284242858261813,0.0484773776905792
"6","West","Like to but can't afford",0.649302330785843,0.0556668644934123
"7","West","Don't want to",0.0566807282167194,0.0393039483355627
"8","West","Does not apply",0.00977408273562421,0.00974721191711552
"9","East","Do this",0.500313070870208,0.0584463642786264
"10","East","Like to but can't afford",0.440171188442844,0.0565651941434407
"11","East","Don't want to",0.0595157406869485,0.0246487500398353
"12","East","Does not apply",0,0
"13","London and South East","Do this",0.519972748896165,0.0430271359512092
"14","London and South East","Like to but can't afford",0.446974679575581,0.0419431275372895
"15","London and South East","Don't want to",0.0330525715282542,0.0126440217634445
"16","London and South East","Does not apply",0,0
"17","England","Do this",0.452657071370394,0.0278498293404079
"18","England","Like to but can't afford",0.500311805554802,0.0273507482419209
"19","England","Don't want to",0.0451364298426656,0.01125223048544
"20","England","Does not apply",0.00189469323213842,0.00189399497898291
