"","region","category","svy_fun","SE"
"1","North","1+ self employed",0.0663251944381848,0.0248979229129851
"2","North","Sing/couple all FT",0.389613316198817,0.0636104908742157
"3","North","Couple, 1 FT, 1 PT",0,0
"4","North","Couple, 1 FT, 1 not working",0.118733669933188,0.0352506520822328
"5","North","No FT, 1+ PT",0.42532781942981,0.0577960909731524
"6","West","1+ self employed",0.162625343863697,0.0354125620376878
"7","West","Sing/couple all FT",0.339787248203035,0.0597744194316301
"8","West","Couple, 1 FT, 1 PT",0.0209202236223267,0.0153239555831128
"9","West","Couple, 1 FT, 1 not working",0.137717410595439,0.0402679389648942
"10","West","No FT, 1+ PT",0.338949773715503,0.0543334881429443
"11","East","1+ self employed",0.130108380616717,0.0343213069558141
"12","East","Sing/couple all FT",0.415306260771897,0.0582198059641295
"13","East","Couple, 1 FT, 1 PT",0.0286024129049749,0.0166000970799364
"14","East","Couple, 1 FT, 1 not working",0.130121290755695,0.0374725438336695
"15","East","No FT, 1+ PT",0.295861654950716,0.0548160953997175
"16","London and South East","1+ self employed",0.182200823501242,0.0297756173023647
"17","London and South East","Sing/couple all FT",0.3638265107304,0.0434529234394306
"18","London and South East","Couple, 1 FT, 1 PT",0.0489147530670022,0.0151329925050896
"19","London and South East","Couple, 1 FT, 1 not working",0.143612700886884,0.0269038570613443
"20","London and South East","No FT, 1+ PT",0.261445211814473,0.0401308045423944
"21","England","1+ self employed",0.149106654650215,0.0170048672488528
"22","England","Sing/couple all FT",0.372336011100089,0.0275298654691739
"23","England","Couple, 1 FT, 1 PT",0.0313810922435536,0.00807565774157125
"24","England","Couple, 1 FT, 1 not working",0.135791302769187,0.0171220267022918
"25","England","No FT, 1+ PT",0.311384939236955,0.0251573037460425
