"","region","category","svy_fun","SE"
"1","North","Couple + kids",0.140842068079249,0.0370838485246378
"2","North","Couple",0.154630887198446,0.0405942788344486
"3","North","Lone parent",0.212380702961794,0.0414348381973725
"4","North","Single",0.492146341760511,0.060962612594393
"5","West","Couple + kids",0.209224420977904,0.0416741938950919
"6","West","Couple",0.208026444227527,0.0613524190950142
"7","West","Lone parent",0.187716301357707,0.0368585048651198
"8","West","Single",0.395032833436862,0.0567670206278141
"9","East","Couple + kids",0.251941362148764,0.0481812877254981
"10","East","Couple",0.0682494497053261,0.0239049777515115
"11","East","Lone parent",0.192896841534499,0.0380707437766171
"12","East","Single",0.486912346611411,0.0588727480830321
"13","London and South East","Couple + kids",0.317336719986103,0.0367587026141431
"14","London and South East","Couple",0.129346973844211,0.0264389559790952
"15","London and South East","Lone parent",0.137990450390388,0.0226415366964769
"16","London and South East","Single",0.415325855779298,0.0458130478848635
"17","England","Couple + kids",0.254009626128433,0.0214499110982291
"18","England","Couple",0.138934815074163,0.0194614495447647
"19","England","Lone parent",0.170069526841424,0.016078544440521
"20","England","Single",0.43698603195598,0.0280316529736639
