"","region","category","svy_fun","SE"
"1","North","No carer",0.954559019678301,0.0202556474424392
"2","North","Has carer",0.0454409803216985,0.0202556474424392
"3","West","No carer",0.876758141804952,0.0318498460524225
"4","West","Has carer",0.123241858195048,0.0318498460524225
"5","East","No carer",0.913592439822615,0.0279462314451444
"6","East","Has carer",0.0864075601773853,0.0279462314451444
"7","London and South East","No carer",0.976076678576291,0.00982037534790858
"8","London and South East","Has carer",0.0239233214237088,0.00982037534790858
"9","England","No carer",0.942447465847127,0.00979034317180198
"10","England","Has carer",0.0575525341528726,0.00979034317180198
