"","region","category","svy_fun","SE"
"1","North","No school age kids",0.665079084724498,0.0519374304886911
"2","North","Has school age kids",0.334920915275502,0.0519374304886911
"3","West","No school age kids",0.625776466412281,0.0522800008135108
"4","West","Has school age kids",0.374223533587719,0.0522800008135108
"5","East","No school age kids",0.555161796316737,0.0565412056306274
"6","East","Has school age kids",0.444838203683263,0.0565412056306274
"7","London and South East","No school age kids",0.547987492546703,0.0418283198300651
"8","London and South East","Has school age kids",0.452012507453297,0.0418283198300651
"9","England","No school age kids",0.585120132094515,0.0254382619802853
"10","England","Has school age kids",0.414879867905485,0.0254382619802853
