"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,920.169571639587,7354.16408450704,9143.70411835266,12630.1992031873,14051.5722921914,16256.807211848,17522.5842077741,17654.6879553774,1340.23066851691,2239.84203262767,3195.59253036277,3656.22757518324,3335.67608921684,2787.13250744467,2296.37321456182,1920.88330640189,1124.03453048256
"2","North West",0,3816.56576576577,5691.07338129496,7322.28262548263,7623.77398160315,8344.27166186359,11331.4171113155,12647.4666666667,14452.3492032834,1345.47397684748,1590.4188135552,1901.63365716562,689.852464798804,1082.3721056139,1151.53241475874,1493.77010336851,1148.82329279946,1443.11924921278
"3","Yorks & Humber",0,0,4976.70217917675,5561.05539192399,8003.06050748211,11570.6083018868,13260,13965.346223565,15693.4428887251,0,1387.09332793199,1719.75402510631,2458.73351010129,2008.74097350525,1889.06964146615,1613.70048143334,1027.99186761447,970.824391665447
"4","East Midlands",0,0,3103.19808978032,5242.65094736842,6091.21387283237,8929.66486486486,13206.0637739657,15422.3430042918,17094.0915141431,180.630663163406,1259.42481054055,1436.13926164251,1696.6922153371,2110.36832279241,2421.82505399363,2429.59709899417,1083.6208059664,856.281533252351
"5","West Midlands",0,0,0,1816.2674298798,5834.71118820468,6591.52707826932,11616.8115812918,14912.0317460317,18156.7372093023,0,0,1385.70857125185,1554.93104478642,2109.54303731127,2072.34628461808,2697.36652412051,2506.26291990988,993.392878014116
"6","East",0,1770.89269670478,6343.52727272727,8268.01579347001,12374.1400894188,15233.3053344623,18285.1452009844,22068.8087529808,23154.2053515868,367.827006124785,1565.64133633673,2542.46756557575,2808.54488131149,2610.89913502987,3020.45708562464,2125.83437676554,1650.1121718806,707.500584608242
"7","London",0,0,79.3272251308902,7540.7892074199,9875.18518518519,14246.9879385965,16952,21409.0043859649,27380.5138511678,0,1069.16879159933,1996.82909700486,2925.43982805689,1811.76608834397,2166.78571931448,1715.49062836226,2084.39994882425,1771.39738028846
"8","South East",0,3321.50972127804,7413.0293135436,11185.5337837838,14608.8705526117,16090.8831091181,18995.495632782,21780.0591005357,24924.3907834101,775.619251270117,1825.00320670151,2039.22177362644,1997.67700455049,1594.1807688462,1598.01125981722,1795.19624658395,1745.40333080306,956.793968469804
"9","South West",0,4957.20221402214,6544.51229885057,8234.0527584947,11672.9403892944,14078.1998401279,15342.9123317715,17219.7314326443,20627.7274911661,1188.43693564004,1667.29726891282,974.218918621818,1537.12521303885,2057.70129336338,1707.51196230491,1845.03684682166,1477.22620758993,1013.93807784791
"10","England",0,0,5408,7673.94270696452,10451.0350515464,13780,15929.3789935832,17940,22254.136888003,NA,NA,NA,NA,NA,NA,NA,NA,NA
