"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",7566.29732107157,13033.261047836,13456.1689694224,14274.7057142857,15799.3485915493,16390.7683193818,17689.210807042,17711.2280983092,17739.0916129032,2378.45940199965,2493.77098810372,1976.01253790374,1304.88430560675,1187.2090189261,1122.7092632867,1641.08321039142,1313.97832778112,709.682424105982
"2","North West",5208.42599704579,7662.07586508979,10157.3868725869,11464.8471021159,13478.9124087591,14707.1442424242,15132.6004123711,16432,16909.7909090909,1951.93716449847,1934.19308052572,1387.23591307704,1604.34322925262,1156.75216723426,877.554090713524,614.263737850372,598.905699251699,542.229198422029
"3","Yorks & Humber",4821.90612478535,10167.9719101124,12044.7348837209,12777.363285834,13532.773255814,14092,14953.1115740741,15530.786888361,16723.3544554455,2590.97812294139,3159.2806246997,1669.8601659816,938.327843920091,623.918576739237,583.123102326195,609.475130197596,643.099246314032,582.068174559619
"4","East Midlands",5270.27115789474,7747.89562724014,10321.759495445,12144.9527974277,13979.7177419355,15375.9329969728,15611.8309352518,17058.3368421053,18600.0050632911,5849.33554561019,1457.67050168444,1767.51959784581,1623.94033077929,1277.46770753805,912.397391765105,558.776239801021,841.778984442889,680.871162742232
"5","West Midlands",8653.48443473512,11589.6589765828,12922.7445727483,14491.7591919192,15382.2250174703,16132.0742155525,16687.8330798479,18268.3475687104,18708.2871165644,2850.00150334938,1853.26349588982,1191.43497545761,811.250820751658,683.376512564372,753.261685134079,745.759608066282,593.873179163384,443.049082565533
"6","East",10640.6287539936,14909.5833452979,16829.7691394659,19054.6313043478,20278.1186281103,22048,22152,23683.1234782609,24424.2721787709,4834.71362228213,1614.4989202277,1302.29970574715,1457.30849984878,1042.42266914818,736.90825514861,548.878655810841,612.133059854859,246.789751121169
"7","London",10334.6154644525,11906.9225589226,14491.6554809843,16904.5398450834,18034.1261642676,21528,24024,26602.7158098933,29473.9433962264,1541.42881002545,759.168323447522,1308.18440931715,1194.51375943456,1425.01964181025,1543.89139512862,1263.51157319696,975.568128565647,1177.69375071766
"8","South East",8050.12547368421,12943.6468922109,14976,16440.1013910356,19136,20372.8614203455,22279.8311199701,24052.2327272727,25532,2151.42396382523,1709.00083832395,1090.95678935,1090.21189516506,1239.12090899109,1094.04160455726,1237.70679602404,830.060791924537,229.823333108631
"9","South West",10614.4416167665,13269.5486511628,13812.2817518248,15175.4371847273,16567.6131260794,17874.2618329939,18668,20015.3424313725,21123.3302922309,1840.53003992061,850.49538134828,844.570066342607,910.331991362311,1017.31260389694,841.505752095568,709.686094379117,683.589065714725,390.371748424847
"10","England",8684,11960,13815.1664233577,15340,16536,17888,19560.1545454545,22063.9521026372,25082.2888382688,NA,NA,NA,NA,NA,NA,NA,NA,NA
