"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",11457.3449209202,14455.2319651741,15525.3230427612,17466.4562132226,18763.2958110212,21369.9820895522,23492.3257315937,26071.3320967066,26268.5018692488,2808.61658786394,3168.45745685421,1802.27297817076,2004.64847994853,2889.13065145256,2760.47565822999,2452.75067549328,2224.74923153366,1814.66062234909
"2","North West",8553.16568237947,10469.5873015873,12504.2120260765,14735.167234143,15837.0700723188,17176.5712487271,19246.5222333301,20867.8076225045,23175.1388846774,2640.38828193761,1981.84712076053,1418.60189744294,1338.6571365947,1362.01704275317,1288.39505006114,1313.2072534431,1593.09525066145,2858.13078237524
"3","Yorks & Humber",10088.6620779386,11932.7810925998,13002.2639675609,14990.2609197248,17778.6630337825,19789.7953885036,20837.1763538801,22206.806246545,24937.3843653022,776.753920312061,943.9557039207,1526.25390591932,1928.84236001875,1894.61559195755,1618.77337061394,1019.07933766421,1358.96043091191,1248.91961717958
"4","East Midlands",7417.90921546303,9708.24756367532,13345.6412298732,14708.3687439458,16893.3759002086,19458.9984516246,20440.3962095642,23010.9609890462,24110.4989488254,1862.08320727298,1822.95006149596,1680.74385127149,1494.653706874,1585.44653121081,2016.65342773762,1438.29284497485,1346.78050921551,1446.41838809526
"5","West Midlands",10960.1241823547,14572.4634543655,15789.6888431642,16250.7885080096,18047.4953636813,21860.5123654455,24582.0370545903,26658.5685315208,27669.8133442895,3253.69458011242,1561.18706724089,935.517991169278,1309.32243722525,1829.6320241982,2217.71632907626,1879.1943034212,1136.42632111538,864.486046996212
"6","East",15493.9583232165,16999.6866256418,19312.770558341,20386.3397075366,23151.9581791541,24865.5000789515,27980.4032529881,30652.3673205725,33041.1133001007,3094.69380614378,985.698224468679,1170.99429165722,1212.98841116995,1658.14565155932,2333.67855348407,2496.3320908794,2141.32798181822,1864.53997702616
"7","London",13407.9693071258,16640.952498033,17769.2500376903,19223.5974829352,21411.9918499607,22794.4519207242,25240.4934955,27754.7253729981,32780.5051005407,1587.11497693916,871.974246060088,503.577714822774,988.590739215096,1150.56276177847,985.858827201693,1239.74227824737,1809.98947746601,1774.60096578555
"8","South East",13194.1465929632,16891.2406958344,18588.2516705353,19867.5354837547,21643.3096103935,23205.9701492537,25807.9133333333,28940.5528035498,32865.1161132003,1826.35316981486,1165.52460188186,766.466683012863,990.129468756139,1157.53302565022,1376.02762127835,2181.28725373325,2663.40093406662,2573.91266329154
"9","South West",13332.1733320245,15257.9383084577,15608.6585777778,18266.3373722975,19464.5900243309,20553.529064105,23062.6541633234,24681.5889464594,27221.3476414497,1740.38033873738,583.205024479896,1245.04905541772,1220.80929046457,1258.0127721899,1357.8302614058,1210.18453542937,1354.67546521935,1853.94319191457
"10","England",11729.3986637047,15097.35552,16682.9703503441,18532.3308270677,20274.1280343382,22088.1614843884,24073.0837607652,26417.7293920844,31277.6119402985,NA,NA,NA,NA,NA,NA,NA,NA,NA
