"","region","category","svy_fun","SE"
"1","North","16 to 24",0.171946247124374,0.0308071090569292
"2","North","25 to 34",0.315680471632061,0.034372248553106
"3","North","35 to 44",0.275651171137248,0.0325303493101135
"4","North","45 to 54",0.131637474038467,0.0241391734219521
"5","North","55 to 64",0.10508463606785,0.028561588495296
"6","West","16 to 24",0.229234688829524,0.0421629489261766
"7","West","25 to 34",0.300765146268263,0.0413375894181138
"8","West","35 to 44",0.230846607961479,0.0364352372290934
"9","West","45 to 54",0.161554698064048,0.0299626876028115
"10","West","55 to 64",0.0775988588766861,0.0211039579487938
"11","East","16 to 24",0.163625429481006,0.0323786212598934
"12","East","25 to 34",0.344854849087629,0.0409842280030755
"13","East","35 to 44",0.240967756858028,0.0416972648616437
"14","East","45 to 54",0.133333613696291,0.0279805036700068
"15","East","55 to 64",0.117218350877045,0.0252858251050992
"16","London and South East","16 to 24",0.104816475851506,0.0210234715736784
"17","London and South East","25 to 34",0.322381020594814,0.0326348730479515
"18","London and South East","35 to 44",0.340005068814669,0.0373807975574522
"19","London and South East","45 to 54",0.154880937951097,0.0274773814742347
"20","London and South East","55 to 64",0.0779164967879142,0.016498532591437
"21","England","16 to 24",0.157391941828959,0.0152652792547178
"22","England","25 to 34",0.320672257298852,0.0184258383776729
"23","England","35 to 44",0.283567340326333,0.0192787712344516
"24","England","45 to 54",0.145928372510667,0.0140526928939425
"25","England","55 to 64",0.092440088035189,0.0115066966862236
