"","region","category","svy_fun","SE"
"1","North","Employed",0.501500326541659,0.0380830753861428
"2","North","Family worker",0.0042420997511223,0.00423653826427696
"3","North","Unemployed",0.117404964609945,0.0241538545911387
"4","North","Inactive",0.376852609097274,0.0365343742351278
"5","West","Employed",0.630553082022361,0.0428256911872344
"6","West","Family worker",0.00555720457768543,0.00554897982974531
"7","West","Unemployed",0.0737896177566703,0.0244511670723402
"8","West","Inactive",0.290100095643284,0.0395947799556725
"9","East","Employed",0.532257861026885,0.0441176904709003
"10","East","Family worker",0,0
"11","East","Unemployed",0.11747488298351,0.0269255342977313
"12","East","Inactive",0.350267255989604,0.0432390521072365
"13","London and South East","Employed",0.573900012121079,0.0372959870355738
"14","London and South East","Family worker",0,0
"15","London and South East","Unemployed",0.130901036903175,0.0287216264440179
"16","London and South East","Inactive",0.295198950975747,0.0342969135718206
"17","England","Employed",0.55759727354643,0.0203959259319952
"18","England","Family worker",0.00218989102348756,0.00154860360048859
"19","England","Unemployed",0.113920642744789,0.0139562537084643
"20","England","Inactive",0.326292192685293,0.0191852982682652
