"","region","category","svy_fun","SE"
"1","North","No carer",0.877711619587793,0.0239206967200276
"2","North","Has carer",0.122288380412207,0.0239206967200276
"3","West","No carer",0.880140826489891,0.0279042093027401
"4","West","Has carer",0.119859173510109,0.0279042093027401
"5","East","No carer",0.901924831887361,0.0254744910650978
"6","East","Has carer",0.0980751681126386,0.0254744910650978
"7","London and South East","No carer",0.902473801941576,0.0266742167316053
"8","London and South East","Has carer",0.0975261980584236,0.0266742167316053
"9","England","No carer",0.891512484733555,0.0134562446484834
"10","England","Has carer",0.108487515266445,0.0134562446484834
