"","region","category","svy_fun","SE"
"1","North","No disabled",0.649214829109865,0.0357732025260166
"2","North","Has disabled person",0.350785170890135,0.0357732025260166
"3","West","No disabled",0.676193892022031,0.0406530329244921
"4","West","Has disabled person",0.323806107977969,0.0406530329244921
"5","East","No disabled",0.632936199203489,0.0416054949955516
"6","East","Has disabled person",0.367063800796511,0.0416054949955516
"7","London and South East","No disabled",0.653749269980496,0.0361248607276012
"8","London and South East","Has disabled person",0.346250730019504,0.0361248607276012
"9","England","No disabled",0.652928174714058,0.0194216992316736
"10","England","Has disabled person",0.347071825285942,0.0194216992316736
