"","region","category","svy_fun","SE"
"1","North","Helps outside",0.0892870801292046,0.0203086344302826
"2","North","Doesn't",0.910712919870795,0.0203086344302826
"3","West","Helps outside",0.0571386168002375,0.0196595620345558
"4","West","Doesn't",0.942861383199763,0.0196595620345558
"5","East","Helps outside",0.0638344400661096,0.0204806229088878
"6","East","Doesn't",0.93616555993389,0.0204806229088878
"7","London and South East","Helps outside",0.0670053222554021,0.0215478049020824
"8","London and South East","Doesn't",0.932994677744598,0.0215478049020824
"9","England","Helps outside",0.0704799550405169,0.0108100061718988
"10","England","Doesn't",0.929520044959483,0.0108100061718988
