"","region","category","svy_fun","SE"
"1","North","1",0.444179027200038,0.038214913970948
"2","North","2",0.414537281643652,0.0373967533690501
"3","North","3",0.128216141160135,0.0230428305498587
"4","North","4",0.0130675499961756,0.0065995219652276
"5","West","1",0.567152303683915,0.044345295085782
"6","West","2",0.367327924540747,0.0430238858997257
"7","West","3",0.0655197717753372,0.0214397154390867
"8","West","4",0,0
"9","East","1",0.463196053611005,0.0439897463508777
"10","East","2",0.464815149692792,0.0440267557036277
"11","East","3",0.0620134826546447,0.0164734037136275
"12","East","4",0.0099753140415582,0.00712013943716327
"13","London and South East","1",0.456645105839054,0.0376287832043692
"14","London and South East","2",0.42197661733755,0.0356175835387791
"15","London and South East","3",0.0852045707485317,0.0156699988019402
"16","London and South East","4",0.0361737060748642,0.0112285830825227
"17","England","1",0.475581537727348,0.0205406065829762
"18","England","2",0.417582391706357,0.0199220753802301
"19","England","3",0.0886042466617898,0.00978822665319702
"20","England","4",0.0182318239045051,0.00457519074368644
