"","region","category","svy_fun","SE"
"1","North","Full-time",0.238701952777958,0.031628839168418
"2","North","Part-time",0.158440366432694,0.0247364649614929
"3","North","FT self-employed",0.0474044350829298,0.0159611516569934
"4","North","PT self-employed",0.0356048081052935,0.0153022741789469
"5","North","Unemployed",0.194704141489618,0.0337462994223498
"6","North","Student",0.0084665486017545,0.00597097365288916
"7","North","Family home",0.152665580155681,0.0278109458927642
"8","North","Disabled",0.1205174067297,0.024410011433996
"9","North","Retired",0.0228226143337079,0.0102575005527712
"10","North","Other",0.0206721462906633,0.00928476087846256
"11","West","Full-time",0.312279443290129,0.0435441888202946
"12","West","Part-time",0.201403317832525,0.0342254180668723
"13","West","FT self-employed",0.0893234062201115,0.0265355771274353
"14","West","PT self-employed",0.0193100491408595,0.00965656099775907
"15","West","Unemployed",0.100981992678342,0.0277360071605797
"16","West","Student",0.0331247320339039,0.016742054633385
"17","West","Family home",0.0895501467629696,0.0245045044545776
"18","West","Disabled",0.121788529402065,0.0273915636836545
"19","West","Retired",0.0114730714686191,0.00810048667428198
"20","West","Other",0.0207653111704759,0.0125842896047715
"21","East","Full-time",0.285865080933777,0.0401034991107147
"22","East","Part-time",0.132707002485418,0.0267264281375983
"23","East","FT self-employed",0.0717280591453696,0.021364216780111
"24","East","PT self-employed",0.0261746857481696,0.0116942384030852
"25","East","Unemployed",0.142072527093575,0.0291487203965561
"26","East","Student",0.0375293855425234,0.0168184255945469
"27","East","Family home",0.187667954934458,0.039083229764016
"28","East","Disabled",0.0866069213203413,0.0238594172902596
"29","East","Retired",0.0296483827963682,0.0132014092179509
"30","East","Other",0,0
"31","London and South East","Full-time",0.231752818150764,0.0282409427889991
"32","London and South East","Part-time",0.149426452601073,0.0228724249884556
"33","London and South East","FT self-employed",0.168148009388326,0.0304085031931437
"34","London and South East","PT self-employed",0.0461394364800388,0.0128443356447718
"35","London and South East","Unemployed",0.142795120714923,0.0329691737031959
"36","London and South East","Student",0.0288922436116406,0.0111023018330141
"37","London and South East","Family home",0.100084847549889,0.0181104245878043
"38","London and South East","Disabled",0.0908750316800917,0.0232032846647534
"39","London and South East","Retired",0.00727044330090027,0.00522794449180757
"40","London and South East","Other",0.0346155965223524,0.0124133779204051
"41","England","Full-time",0.259038206141742,0.017410943925098
"42","England","Part-time",0.158606978138765,0.0133556413311912
"43","England","FT self-employed",0.1029288026398,0.0136217897535099
"44","England","PT self-employed",0.0344943157022251,0.00676663734765716
"45","England","Unemployed",0.14854917757426,0.0167191735964796
"46","England","Student",0.0258603367565752,0.00619625614823018
"47","England","Family home",0.128454768939025,0.0133382044752132
"48","England","Disabled",0.103873045973583,0.0125538850613543
"49","England","Retired",0.016396710924966,0.00441619461721991
"50","England","Other",0.0217976572090585,0.00561897255532071
