"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_earn",3241.16545211184,952.632401440902
"2","North West","hh_grossinc_earn",4697.35166525003,756.136295179983
"3","Yorks & Humber","hh_grossinc_earn",5249.77918841326,929.296687526655
"4","East Midlands","hh_grossinc_earn",5106.24421157392,851.691006051131
"5","West Midlands","hh_grossinc_earn",6726.63300401195,1124.79205514784
"6","East","hh_grossinc_earn",5044.80209620804,917.747670660999
"7","London","hh_grossinc_earn",6067.18151095939,909.24359010621
"8","South East","hh_grossinc_earn",5547.71816024173,801.674948631347
"9","South West","hh_grossinc_earn",6075.93997187147,943.463312556192
"10","England","hh_grossinc_earn",5494.69808074497,319.83566748161
