"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,0,0,0,0,0,3888.14989367205,5636.63220154209,8751.06384246432,0,0,0,0,967.373663265833,1358.01615592129,2162.00450078434,1990.70644089323,2486.34955141713
"2","North West",0,0,0,0,0,0,6177.13242337165,9274.7329314666,14570.0700150376,0,0,0,0,0,1577.38935930952,2350.89666347655,1839.17394978968,1826.81714394095
"3","Yorks & Humber",0,0,0,0,0,3378.71215372194,7314.93635497045,10489.8178999537,13380.8390771449,0,0,0,0,1149.45910231977,2048.17413285647,2758.83798544466,1604.26711639763,1919.63026272243
"4","East Midlands",0,0,0,0,0,1991.30720606826,8580,11055.9876326974,14059.6593741028,0,0,0,0,1103.07377348241,2206.42328628227,2698.91730742774,1382.5315554854,1536.66512843087
"5","West Midlands",0,0,0,0,0,5753.339704624,11961.1538574577,15470.9720663056,18254.280289974,0,0,0,190.015585943948,1808.75895900397,3460.16799062283,2979.16756027808,1765.04264065325,1271.86869872009
"6","East",0,0,0,0,0,0,6879.51602254837,10380.0744177149,16131.3101424683,0,0,0,0,121.546592890934,2002.5854587282,2698.42894058196,2323.64168285889,2693.48781339845
"7","London",0,0,0,0,0,2718.75114927574,5638.07729121799,10077.4173593233,19448.5647445274,0,0,0,0,664.432046085057,1403.49030461818,1570.45212930905,2694.70930193279,2920.62602065228
"8","South East",0,0,0,0,0,1781.28153045593,6623.74427180443,12293.308045977,16995.0208925455,0,0,0,0,448.291766224194,1685.45477181662,2404.39153466351,2491.44699735211,1186.1194821779
"9","South West",0,0,0,0,3220.35198446413,6063.10995881313,9851.92421052631,16300.0551724138,17653.0341762133,0,0,0,1293.47860401941,1672.1014548849,2330.05701937479,2677.32920997794,2237.55288020695,1246.45045913929
"10","England",0,0,0,0,0,3398.7352463295,7235.66065380727,11485.1142893282,16484,NA,NA,NA,NA,NA,NA,NA,NA,NA
