"","region","category","svy_fun","SE"
"1","North East","hh_grossinc",17454.0254312909,1438.6370005093
"2","North West","hh_grossinc",16094.5595733223,836.442680482421
"3","Yorks & Humber","hh_grossinc",15682.0081355624,1025.22532795852
"4","East Midlands","hh_grossinc",15280.03857975,901.950211472809
"5","West Midlands","hh_grossinc",16692.5881833124,883.24635939332
"6","East","hh_grossinc",16922.7430266475,867.271407671553
"7","London","hh_grossinc",20054.6255900697,1040.86173421831
"8","South East","hh_grossinc",17554.3424401158,924.087220218302
"9","South West","hh_grossinc",15903.6221195308,905.356128447887
"10","England","hh_grossinc",17156.3152061637,344.281767686422
