"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",5636.38851308232,10511.5226206286,12233.4792005922,13949.5539208883,16457.82689747,18134.3000775795,22579.8524619517,26424.0760849492,27928.4827586207,2675.13214445312,2532.19689837906,2527.22721636577,1803.00533760699,2383.75158830513,2615.21479197759,2638.02564471339,1747.54509705541,1314.78976784102
"2","North West",6562.57358490566,9093.53098751419,11104.2153597413,13115.0364583333,16285.9666666667,17742.4547368421,20436,22320.5808994442,26655.4915009042,1569.27509495587,911.696632420934,989.001867988658,1358.73432650295,1234.55050014976,1072.08671077691,1110.65949020797,1373.98340039806,1988.58074243092
"3","Yorks & Humber",6616.46573582108,8084.20736842105,10764.9708860759,11961.2590163934,14103.6447876448,18095.353625498,20721.5951428571,22032.8836337419,24440.8106104651,929.942799314508,1365.8833546066,1359.36303577284,1522.11493162992,1761.15195003935,1949.45527161532,1109.42191965612,937.489008712923,2707.586774395
"4","East Midlands",5980.48671081678,9568,10449.9810181191,12818.4614044638,13966.431018936,15130.75761079,17680.0532991672,21029.5846547315,26612.9573830077,2427.5956280475,1371.87879627038,918.764884832811,1208.36765116785,871.777804584525,1090.97998493008,1519.34848391421,1959.56132253749,1488.62309545261
"5","West Midlands",7264.22831988261,9704.93783549784,12265.003081438,15421.3309699655,17745.0771337289,18572.1573459716,21001.600560028,22803.5128436602,24699.7358730159,2373.34602322077,1264.2193767676,1566.7402296596,1474.59150709325,1032.98900894931,1020.43260034708,1213.39001298416,933.643413585129,1356.31474320146
"6","East",8051.68852459016,10313.3230950975,11846.7339654211,13746.623015873,16350.1556420233,18764.7954055994,20808.0649137223,21943.6477561389,25487.6802631579,1076.56079235462,967.012932758665,997.165191699026,1294.14205601644,1541.20068224491,1241.3179532189,1003.32736554165,1091.68292843483,2011.19437158633
"7","London",5697.01031613977,9587.33048408199,13931.7817936615,16847.4333333333,20042.5237856785,22828,26113.653015873,28388.2429780034,32604.9726840855,524.438314591094,2092.66352087723,1851.85949260668,1635.27369643801,1526.84613596494,1277.01516049514,1238.66187353498,1053.08326234941,1114.05739999637
"8","South East",5525.70278086763,10088,12117.0561419069,14774.2865671642,17319.3108614232,19459.3745649264,22105.8117647059,24240.2159394997,29148.2621468927,2248.53342994687,1684.32857179909,1201.99230473267,1476.76294813913,1253.84017055747,1165.60209459397,983.269027843933,1227.55284539042,2485.18283473392
"9","South West",7600.76279069767,10149.4045184304,11029.0676979442,12654.4758842444,14547.6592977893,17170.6368121442,20571.905497076,22695.353256705,26254.9464788732,2199.20878601001,858.397616560794,749.940503663604,1064.99534438347,1511.82388244134,1729.71206290798,1515.22288099084,1420.7134392488,1880.70313772428
"10","England",6851.30488076115,9753.1025210084,11804,13988,16796,18876,21454.4155960371,23920,28361.3531914894,NA,NA,NA,NA,NA,NA,NA,NA,NA
