"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_nohb",15298.6833014177,1451.20286301002
"2","North West","hh_grossinc_nohb",14783.0978643995,869.791088033053
"3","Yorks & Humber","hh_grossinc_nohb",14573.4878708177,1091.44507140766
"4","East Midlands","hh_grossinc_nohb",14384.1072202605,874.805035024781
"5","West Midlands","hh_grossinc_nohb",15802.3425551827,919.004863857622
"6","East","hh_grossinc_nohb",15671.7598920472,845.644419328283
"7","London","hh_grossinc_nohb",18340.3378086177,1056.4410080389
"8","South East","hh_grossinc_nohb",16133.4479066265,904.328695336623
"9","South West","hh_grossinc_nohb",14825.7192127171,882.508443908689
"10","England","hh_grossinc_nohb",15841.3400077957,347.079756798116
