"","region","category","svy_fun","SE"
"1","North","16 to 24",0.189405737484829,0.028417744627148
"2","North","25 to 34",0.35256479104686,0.0331383694947607
"3","North","35 to 44",0.246224773647524,0.0292993704272366
"4","North","45 to 54",0.115823729687349,0.0215104824400929
"5","North","55 to 64",0.0959809681334379,0.0261392595579287
"6","West","16 to 24",0.138351006466858,0.034975970204288
"7","West","25 to 34",0.321539384525917,0.0451633181044259
"8","West","35 to 44",0.242718803944158,0.0361550412427969
"9","West","45 to 54",0.25008373421472,0.0404475963065282
"10","West","55 to 64",0.0473070708483472,0.0157939986100892
"11","East","16 to 24",0.114382735133087,0.0336411276220131
"12","East","25 to 34",0.312247564149871,0.0409206189677257
"13","East","35 to 44",0.354626868648589,0.04169601441353
"14","East","45 to 54",0.143842310492356,0.0308009803102064
"15","East","55 to 64",0.0749005215760973,0.0210951112843444
"16","London and South East","16 to 24",0.120428915976794,0.0486941372219786
"17","London and South East","25 to 34",0.366289681246333,0.0448367952111457
"18","London and South East","35 to 44",0.282029016547627,0.0351379522783314
"19","London and South East","45 to 54",0.169336139383724,0.0314070223645177
"20","London and South East","55 to 64",0.0619162468455213,0.0156980536577685
"21","England","16 to 24",0.143459306318008,0.0203333035858751
"22","England","25 to 34",0.344230761684645,0.0213584591422133
"23","England","35 to 44",0.274608288240211,0.0178195993308955
"24","England","45 to 54",0.166900405347606,0.0159389415010487
"25","England","55 to 64",0.0708012384095306,0.0105610266404049
