"","region","category","svy_fun","SE"
"1","North","Do this",0.287748716628967,0.0314008544540119
"2","North","Like to but can't afford",0.652104186701703,0.0331751996630771
"3","North","Don't want to",0.0601470966693305,0.0159346363392131
"4","North","Does not apply",0,0
"5","West","Do this",0.251788973334765,0.0357093921655766
"6","West","Like to but can't afford",0.728823849522632,0.0373459061793856
"7","West","Don't want to",0.0193871771426033,0.0136731453031926
"8","West","Does not apply",0,0
"9","East","Do this",0.379325305337927,0.0438482486177871
"10","East","Like to but can't afford",0.560550491113544,0.0445351719019139
"11","East","Don't want to",0.0601242035485287,0.0199453010394743
"12","East","Does not apply",0,0
"13","London and South East","Do this",0.382092971608243,0.0449251800192336
"14","London and South East","Like to but can't afford",0.57440650824635,0.0456809945876025
"15","London and South East","Don't want to",0.0382616623613433,0.0139267651016742
"16","London and South East","Does not apply",0.00523885778406368,0.00523452159019384
"17","England","Do this",0.326314749537644,0.0207362277781571
"18","England","Like to but can't afford",0.627871741776394,0.021344518689229
"19","England","Don't want to",0.0440423312204606,0.00790509514518582
"20","England","Does not apply",0.00177117746550116,0.00176988914306714
