"","region","category","svy_fun","SE"
"1","North","1+ self employed",0.033005037215247,0.0116864232281472
"2","North","Sing/couple all FT",0.095521818982461,0.0198891795687128
"3","North","Couple, 1 FT, 1 PT",0.0463606388348889,0.015467131051545
"4","North","Couple, 1 FT, 1 not working",0.145652314004318,0.0255264235133497
"5","North","No FT, 1+ PT",0.18707508565414,0.0267732771967465
"6","North","Workless, head/spouse aged 60+",0.0506621414071982,0.0234719435546187
"7","North","Workless, head/spouse unemployed",0.125699464057482,0.0232333833387128
"8","North","Workless, inactive",0.316023499844265,0.0315439006284421
"9","West","1+ self employed",0.107470564202979,0.0234225794075845
"10","West","Sing/couple all FT",0.103513892518394,0.0392535623175703
"11","West","Couple, 1 FT, 1 PT",0.0569944753821409,0.0193167910178119
"12","West","Couple, 1 FT, 1 not working",0.150920340236959,0.0307704301663955
"13","West","No FT, 1+ PT",0.165804787020645,0.0297195726279826
"14","West","Workless, head/spouse aged 60+",0.00534794786763001,0.00534266520457407
"15","West","Workless, head/spouse unemployed",0.166165488253286,0.0350516551693654
"16","West","Workless, inactive",0.243782504517967,0.0413003586173507
"17","East","1+ self employed",0.103821567121758,0.0257975111710714
"18","East","Sing/couple all FT",0.13223898756395,0.0326633985296235
"19","East","Couple, 1 FT, 1 PT",0.0611131610702781,0.0239369414654311
"20","East","Couple, 1 FT, 1 not working",0.142984651900312,0.033219099102767
"21","East","No FT, 1+ PT",0.24477675944671,0.0359597611600833
"22","East","Workless, head/spouse aged 60+",0.0234908699251045,0.0116745070034448
"23","East","Workless, head/spouse unemployed",0.06632393565566,0.0222293213559101
"24","East","Workless, inactive",0.225250067316227,0.0363560477159204
"25","London and South East","1+ self employed",0.169489789266857,0.0286474454987741
"26","London and South East","Sing/couple all FT",0.095255943456843,0.022495727197402
"27","London and South East","Couple, 1 FT, 1 PT",0.0548297279931463,0.015729711383414
"28","London and South East","Couple, 1 FT, 1 not working",0.151633810423981,0.0273881322146596
"29","London and South East","No FT, 1+ PT",0.230942758434447,0.0401077932852253
"30","London and South East","Workless, head/spouse aged 60+",0.0118589773436263,0.00686439442629777
"31","London and South East","Workless, head/spouse unemployed",0.112287800199279,0.0480986346982598
"32","London and South East","Workless, inactive",0.17370119288182,0.0329700493096253
"33","England","1+ self employed",0.106038619856147,0.0120029605593399
"34","England","Sing/couple all FT",0.102915128137716,0.0137473096788246
"35","England","Couple, 1 FT, 1 PT",0.0538048916391661,0.00892711004704762
"36","England","Couple, 1 FT, 1 not working",0.148372135000765,0.0145187775566708
"37","England","No FT, 1+ PT",0.206409436398096,0.0178867242246441
"38","England","Workless, head/spouse aged 60+",0.0236427918365425,0.00771018580720548
"39","England","Workless, head/spouse unemployed",0.12046161754492,0.0193720492458991
"40","England","Workless, inactive",0.238355379586647,0.0180612679356443
