"","region","category","svy_fun","SE"
"1","North","Pen couple",0.00440085063421655,0.00439264563002338
"2","North","Pen single",0,0
"3","North","Couple + kids",0.263777159612059,0.0307442636207278
"4","North","Couple",0.130331231808564,0.025287069085469
"5","North","Lone parent",0.301784505998475,0.0302479450962824
"6","North","Single",0.299706251946685,0.034396565264271
"7","West","Pen couple",0,0
"8","West","Pen single",0,0
"9","West","Couple + kids",0.306481948375556,0.0388338891955092
"10","West","Couple",0.146834846683573,0.0433236815512309
"11","West","Lone parent",0.263120507337326,0.0355264611179018
"12","West","Single",0.283562697603545,0.0450255372681489
"13","East","Pen couple",0,0
"14","East","Pen single",0.00554486252530591,0.00553614515878302
"15","East","Couple + kids",0.362994026308179,0.0433389151250123
"16","East","Couple",0.117234948590348,0.0311887831717042
"17","East","Lone parent",0.256300300180507,0.0356470510362826
"18","East","Single",0.25792586239566,0.0393925120972946
"19","London and South East","Pen couple",0,0
"20","London and South East","Pen single",0,0
"21","London and South East","Couple + kids",0.36991209364262,0.0406121741818303
"22","London and South East","Couple",0.104698427183924,0.0241574993957682
"23","London and South East","Lone parent",0.20702924935048,0.0290108019945219
"24","London and South East","Single",0.318360229822977,0.0537717637347848
"25","England","Pen couple",0.00128628214233862,0.00128595775092246
"26","England","Pen single",0.000872694168566529,0.000872835055493464
"27","England","Couple + kids",0.324277300141656,0.0193538295368756
"28","England","Couple",0.123147977382153,0.015318878742759
"29","England","Lone parent",0.254439007545822,0.0165243321991774
"30","England","Single",0.295976738619464,0.0239684338488627
