"","region","category","svy_fun","SE"
"1","North","Employed",0.446408433307915,0.0350867891912995
"2","North","Family worker",0,0
"3","North","Unemployed",0.128110668370799,0.0230353868921946
"4","North","Inactive",0.425480898321286,0.0352654276912952
"5","West","Employed",0.548652339221106,0.0464709052861166
"6","West","Family worker",0.00430633104275782,0.00430656519757842
"7","West","Unemployed",0.156062173114508,0.0345434285119275
"8","West","Inactive",0.290979156621628,0.0427391614318074
"9","East","Employed",0.643892174363986,0.0421268259499719
"10","East","Family worker",0,0
"11","East","Unemployed",0.0661743440407687,0.0221871982832781
"12","East","Inactive",0.289933481595245,0.0396485134361321
"13","London and South East","Employed",0.633258681218397,0.0489016612734282
"14","London and South East","Family worker",0.0188244387123209,0.0126791646296848
"15","London and South East","Unemployed",0.119476752307076,0.0482175956487228
"16","London and South East","Inactive",0.228440127762206,0.035800283705529
"17","England","Employed",0.562279521116923,0.0226063948300251
"18","England","Family worker",0.00726408023763651,0.00439156914349464
"19","England","Unemployed",0.12141200660799,0.0194021175372495
"20","England","Inactive",0.30904439203745,0.0199289079215973
