"","region","category","svy_fun","SE"
"1","North","No school age kids",0.447262289623766,0.0358211482264978
"2","North","Has school age kids",0.552737710376234,0.0358211482264978
"3","West","No school age kids",0.439650635091813,0.0483647304192374
"4","West","Has school age kids",0.560349364908187,0.0483647304192374
"5","East","No school age kids",0.392199295922133,0.0439874002702935
"6","East","Has school age kids",0.607800704077867,0.0439874002702935
"7","London and South East","No school age kids",0.426345833294533,0.0498981376073869
"8","London and South East","Has school age kids",0.573654166705467,0.0498981376073869
"9","England","No school age kids",0.429921951946885,0.0233999264867657
"10","England","Has school age kids",0.570078048053115,0.0233999264867657
