"","region","category","svy_fun","SE"
"1","North","Not Single parent head",0.698215494001525,0.0302479450962824
"2","North","Single parent head ",0.301784505998475,0.0302479450962824
"3","West","Not Single parent head",0.736879492662674,0.0355264611179018
"4","West","Single parent head ",0.263120507337326,0.0355264611179018
"5","East","Not Single parent head",0.743699699819493,0.0356470510362826
"6","East","Single parent head ",0.256300300180507,0.0356470510362826
"7","London and South East","Not Single parent head",0.79297075064952,0.0290108019945219
"8","London and South East","Single parent head ",0.20702924935048,0.0290108019945219
"9","England","Not Single parent head",0.745560992454178,0.0165243321991774
"10","England","Single parent head ",0.254439007545822,0.0165243321991774
