"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,0,0,0,0,0,0,7445.37464788733,9551.13794482207,0,0,0,0,0,1255.62445754784,2246.17621364099,3172.65767899364,2968.95224628443
"2","North West",0,0,0,0,0,5575.10733262487,8220.30769230769,11900.1608040201,17015.0248618785,0,0,0,0,1391.71136585548,2051.59703107233,1437.98442547266,1753.02995395695,1626.8464390939
"3","Yorks & Humber",0,0,0,0,0,5165.37530266343,8826.50227125243,13260,14933.2404181185,0,0,0,0,1400.20168901026,2576.84212388577,2419.77907271675,1489.36381125908,1926.74327117195
"4","East Midlands",0,0,0,0,3605.33333333334,5530.04113263785,7664.01665014866,12941.1395532194,16974.7216655823,0,0,0,1243.68842299237,1463.63782779196,1895.64526922491,2003.33344375038,2545.07369999315,3694.4196481954
"5","West Midlands",0,0,0,0,0,0,5886.52627927147,12329.7057164068,16776.7054448871,0,0,0,0,0,1532.09427367616,3222.74101050848,2583.11588718176,2400.94516335074
"6","East",0,0,0,0,5471.20181405896,7906.13482428115,10861.0219354839,15052.488155061,17879.7158326497,0,0,0,1623.37963982312,2179.20880932128,2368.74280433826,2013.81107978265,1888.1846015579,2422.78951351196
"7","London",0,0,0,0,0,6244.08947920307,8956.0053691275,15462.5469153515,20914.1506051098,0,0,0,0,1847.1998972743,2535.14123260469,2309.19346942244,2523.21622697586,2689.1423007127
"8","South East",0,0,0,0,3228.06526172672,7130.06231155779,10535.468401175,14565.5897047691,21548.5643625192,0,0,0,1063.55586997164,1957.29458140865,2109.32520116073,1925.53918699361,1839.96398164282,2702.89401079448
"9","South West",0,0,0,0,4468.78226340172,8041.48148148148,11767.7739659367,14987.5570531353,18407.9657894737,0,0,0,1259.73252693662,2332.71770361786,3246.51915787565,2279.10253754619,2370.80110819348,2434.11997280189
"10","England",0,0,0,0,0,5848.66815144766,9308,13542.4365482233,18139.9417218543,NA,NA,NA,NA,NA,NA,NA,NA,NA
