"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",3965.17776889244,5160.86222558668,7078.95207612457,8903.76166026753,11642.1528910663,13580.8714918759,16019.5169104293,17684.8640322581,21491.8871165644,1113.88218364325,909.126991958768,1467.62338309838,1836.09408526125,1887.30556240774,1771.31431580829,1377.00674245112,2344.18990895638,2447.79142971873
"2","North West",6393.08046527437,8517.86596265664,11240.8505682764,12531.9675605773,14565.192000754,16573.6940249508,19179.4615656913,21739.7472186481,25029.7686715135,1243.84503732115,954.739506103503,949.814172238432,809.687050055633,991.019571863745,1133.59047977483,1154.54164347337,1175.14186150647,981.185589132104
"3","Yorks & Humber",4969.85301204819,8472.67385157202,10552.5568760611,12720.6427156027,13780,14817.3095014111,17339.1141552516,20218.7381132075,21520.4622222222,2070.22238105321,1055.90128994277,1220.20027273555,1080.51296450929,854.544065344335,1210.37094720004,1545.44663105229,1105.86407050897,1254.91931077315
"4","East Midlands",5183.35369059656,7814.1946953405,9824.03053435114,11965.8655656482,13868.8882265276,16459.4090996785,20522.9644171779,22796.2037109508,25828.9727481498,1023.64452694126,1191.30037030709,1287.16371298615,1174.44954793299,1560.78773178188,1929.31015586016,1856.76669815485,1322.88312812288,1982.14431476877
"5","West Midlands",3760.68837209302,6070.26164716503,9087.03963123357,12629.0488367036,15026.9282176876,16602.061285728,19488.0452300883,21688.0834404912,25606.369041994,1627.93646719615,2623.25019958484,2317.28336095928,1733.18605106653,1172.26742524709,1310.86199859709,1389.94733919954,1415.39590613029,2289.71834931664
"6","East",6016.47973898858,10719.0204017683,14144.0924956102,16153.2123090486,19013.2101677534,21099.1471698113,24119.3028416779,27933.8447311828,30406.2496400708,2653.1099760082,1930.98883866912,1499.64816310562,1396.65482533958,1488.71660493398,1524.47722165476,1807.64845811525,1533.67593280504,1562.49346076196
"7","London",3311.23205875602,10220.2885175356,11960,14228.9888039572,16526.5033449642,19926.6525663524,22974.4188976378,26465.6737396421,29004.9741608567,1312.72503892549,2533.42766429408,2246.24881824997,1387.27879519223,1845.60021295764,1745.6455520204,1651.15240970025,1178.83711205673,1858.82921733807
"8","South East",8096.04661187218,10438.484015444,11769.4191069206,13353.5583807911,15403.3479166667,17623.3234174602,21095.0509874327,25044.9582145328,29977.7710598906,1237.88539644985,863.629749998812,1032.05942337007,1227.08673904563,1237.21278893083,1732.95107841966,1884.3461555539,1749.62088279965,2066.21690869844
"9","South West",5461.37536231884,6826.26484852792,9987.11616438354,13568.0550218978,15540.6764031502,17456.1154216319,19050.2958339706,22617.4510317061,26167.1582421053,1565.55473263938,1157.91074573107,1896.93303706509,1502.47994264538,1449.80416089885,1088.9948144283,1356.27421200913,1736.68643985336,2360.62023063333
"10","England",4801.19118764976,8551.8974049487,11253.41975542,13232.7123287669,15347.2948183444,17368,20601.9823139278,23435.4179798669,27456,NA,NA,NA,NA,NA,NA,NA,NA,NA
