"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",0,0,2464.69333333333,4271.09306329114,5000.99639567481,9923.69546468401,13204.0896942242,15152.7463917526,17712.8258064516,107.283553951629,969.837236866181,1119.42441364266,1519.60408735501,2352.29669301458,2491.88637856381,2476.95294856272,1706.71589313242,2704.95147335309
"2","North West",0,3652.33576642336,5182.96315789474,7720.03738317757,10288.6932952924,13075.1878557875,15573.1692307692,19733.0662983425,24872.475,428.27551399127,1171.50380398506,983.578665112049,1249.16801217519,1297.68022606835,1286.80399135002,1311.35058186585,2071.23441843133,1172.33249781627
"3","Yorks & Humber",165.414604707302,1807.15847917924,6096.17401259302,7835.1755351682,11938.1202185792,13656.3269961977,15679.6438709677,19499.2429481347,21400.499477534,350.326677929629,1359.20726084805,1908.34105215183,1943.58897399165,1756.94292705297,1642.01293497803,1606.37918954009,1475.83082109843,1273.3176083863
"4","East Midlands",2090.61315115286,5143.31001011122,7120.98107846303,9127.19757575758,11140.5724725944,14472.2083418108,17576.419778002,21686.9426844015,23626.2467065868,1229.97077299014,1085.65278347225,1063.09875338167,1393.75286848852,1559.24521745731,2029.5272544301,1994.50707436307,1652.60679965529,2349.76485992972
"5","West Midlands",0,144.497728836889,3869.83727034121,7182.58998311761,11613.5663486557,13000.5559020045,15567.2382077794,20961.1700752545,23792.4980392157,406.204648476785,1114.30618992344,2432.19859195313,2531.01249992358,1974.34318146172,1129.34215711366,2037.29101942793,1997.37171600825,2414.12327061864
"6","East",230.055172413794,4688.92267593397,10028.9505582137,13851.8574018127,16160.6401354784,19954.135734072,22642.9899559471,24562.7800524934,28492.9765323993,1090.14863972508,2152.51303702274,2443.70956032329,2204.37397358298,2078.2254878583,1940.27866220764,1393.78230450836,1550.16810289861,2410.07787829634
"7","London",0,3905.52374655648,7998.00393873085,11446.4894878706,12479.3647727273,16834.7735955056,20416.8439204127,24024,27102.7784810127,1110.40796918042,2495.47887208022,2988.95978180581,2263.25284465184,1671.71248888606,2328.77587786146,1818.133132772,1323.20800919299,1245.50931594919
"8","South East",96.5805335255949,5020.58940505298,7758.36033898305,10462.5632286996,13364,15555.5037273695,17268.6894056848,23133.6401905587,27221.7995530726,1684.06420912972,2050.33427135892,2319.58097937428,1614.43789124821,1590.09885495747,1133.11784377541,1916.67352964743,2103.42229704182,2259.22013081728
"9","South West",0,3110.16666666667,6356.18491714576,10612.1646706587,13733.2084347121,15313.3338650184,18071.1142857143,20480.0367816092,25637.2197530864,455.268756852076,1628.12871564459,2240.91223456148,2017.5826081241,1730.1547118173,1495.77015583151,1394.74617728588,1166.26213260169,2684.78577673205
"10","England",0,3368.43957894737,6492.20332480818,9696.1463598642,12449.7829457364,15020.0265134777,17875.7881533101,21611.8076688984,25688,NA,NA,NA,NA,NA,NA,NA,NA,NA
