"","GVTREGN","pc10_reg","pc20_reg","pc30_reg","pc40_reg","pc50_reg","pc60_reg","pc70_reg","pc80_reg","pc90_reg","se.0.1","se.0.2","se.0.3","se.0.4","se.0.5","se.0.6","se.0.7","se.0.8","se.0.9"
"1","North East",5498.7827219045,11583.3208342524,13293.0686634776,14457.3105728841,14856.2137814449,15576.0927322234,16225.6801961535,17163.7097974352,18296.6424796223,2613.24458066709,2206.5409746038,1799.82417028665,818.673766261299,500.960021401626,502.064427494591,698.876160396025,618.997463440511,657.459252995177
"2","North West",10092.5137858909,12340.1801641249,14497.247581203,15722.8940710377,16709.4313831673,17796.7611251714,18636.2083758635,19740.3950907868,21018.6383731211,856.380306397219,863.345128054209,786.099586926169,505.205728608371,484.552277352922,366.774993565722,421.022382496582,452.305184852559,528.417664441179
"3","Yorks & Humber",8778.39159995172,11499.4383447449,12860.8032619776,14122.0985646067,16153.6937156803,17473.3304904051,18413.5808754265,20252.221557146,21509.9916095535,2512.74981430538,997.420088069684,1025.94616193654,922.842826737982,1030.6740317921,969.645241379625,781.898235326443,797.037376030996,502.533310402199
"4","East Midlands",6706.93873364003,9712.1946853852,12785.6484538347,14388.4025689161,14871.8719380198,16946.8028788358,18952.9790629209,20495.9608036907,21182.8349298903,1833.96235682037,1523.46954116424,1266.53551544127,615.90136340518,810.486587708176,1163.6454544262,999.363528042068,600.052161622198,442.508884520064
"5","West Midlands",7488.19025012202,9721.2181194175,12721.6715145828,14586.6631204641,15409.2669819828,16053.1156862159,17356.6949782677,18456.0362353232,20384.145563124,2495.08319937414,3333.01999125225,1623.14292756291,987.070061117933,537.043300490065,561.472906116898,647.800298068021,720.382234833449,1253.40302527597
"6","East",9976.76308721877,15519.6959445198,16251.9624552604,17445.971892045,18855.6001752336,20014.3168205989,20655.828076324,22789.2041248453,24030.9160208628,3675.46754357344,1211.16558155026,528.812005391917,765.013801583015,733.715638782477,592.75902662319,807.430398540546,835.944043861107,643.403307954109
"7","London",11336.5682273613,13108.7532637478,16129.0697392054,17628,18272.8661014055,20218.0169837687,21737.7073990572,23224.6467766468,25644.6585949973,3297.22673314498,780.791525595162,1210.32710337391,988.352806600202,895.132214249931,1010.8914723926,750.105172581414,846.596762730263,1001.07273818552
"8","South East",9639.52501751188,13664.2932291667,15888.3890006707,18086.3621327103,18921.0693121242,19465.9755390137,19980.0218665967,21523.6536698197,23965.100991489,1979.89085789157,1000.27639248453,1124.23276056562,860.141660363863,420.309619320622,370.846163643005,523.547057860791,919.246993873302,854.996668311759
"9","South West",9292.60595904481,11975.9594738701,13521.8268656716,15529.7706102128,16644.4485488501,18418.1401369069,18910.4756077905,20193.7715778124,21826.7214285714,2519.85440242785,1138.3507635182,1041.5738049637,922.220856097918,898.427914533588,870.150654037267,476.8184131683,688.919783984664,773.511468003668
"10","England",9152.68749581347,12456.952494019,14357.8750469961,15796.4987915605,17242.4950319042,18371.5956558062,19546.6716801514,20956.7873944887,23020.15348598,NA,NA,NA,NA,NA,NA,NA,NA,NA
