"","region","category","svy_fun","SE"
"1","North East","hh_grossinc_noincben",8311.0211466474,1161.59002641035
"2","North West","hh_grossinc_noincben",11522.0062558718,811.168462923288
"3","Yorks & Humber","hh_grossinc_noincben",11374.5557478747,1110.55292876158
"4","East Midlands","hh_grossinc_noincben",12818.0452572084,1104.45630840886
"5","West Midlands","hh_grossinc_noincben",11479.8573374247,1310.01974181922
"6","East","hh_grossinc_noincben",15870.9962092494,1313.98067009359
"7","London","hh_grossinc_noincben",14452.2119230336,1451.81002503701
"8","South East","hh_grossinc_noincben",14189.7664096538,1350.58177901388
"9","South West","hh_grossinc_noincben",13106.6612465039,1081.23929596567
"10","England","hh_grossinc_noincben",12942.1498036046,445.251325415619
